도번,LG부품,LG품명,매핑 자도번,상태,← 담당확정(수정시)
4849A10047A,3H00815H,Expendables_,,미매핑,
4849A10047A,49113007,Solder Soldering,,미매핑,
4849A10047B,49113007,Solder Soldering,,미매핑,
4849A20056J,49112009,Expendables_,,미매핑,
4849A20059D,3H00815J,Expendables_,,미매핑,
4849A20059D,5220A90008C,"Valve,Solenoid",,미매핑,
4849A20060A,3H00815J,Expendables_,,미매핑,
4849A20060B,3H00815J,Expendables_,,미매핑,
4849A20069M,RAC30599303,Solder Soldering,,미매핑,
5211A00011E,3H00815J,Expendables_,,미매핑,
5211A00011P,3H00815J,Expendables_,,미매핑,
5211A10458H,MJU57271809,"Tube,Connector",,미매핑,
5211A10458H,MJU57271810,"Tube,Connector",,미매핑,
5211A10458H,RAC30599301,Solder Soldering,,미매핑,
5211A10480B,RAC30599301,Solder Soldering,,미매핑,
5211A10549A,3H00815J,Expendables_,,미매핑,
5211A10549A,3H01582B,Tie,,미매핑,
5211A10623D,3H00815J,Expendables_,,미매핑,
5211A11023C,3H00815J,Expendables_,,미매핑,
5211A11024A,3H00815E,Expendables_,,미매핑,
5211A11034A,3H00815J,Expendables_,,미매핑,
5211A11065T,3H00815H,Expendables_,,미매핑,
5211A11065T,3H01582B,Tie,,미매핑,
5211A11604A,3H00815J,Expendables_,,미매핑,
5211A11604A,49112009,Expendables_,,미매핑,
5211A11604C,3H00815J,Expendables_,,미매핑,
5211A11604C,49112009,Expendables_,,미매핑,
5211A12001A,3H00815H,Expendables_,,미매핑,
5211A19008C,3H00815H,Expendables_,,미매핑,
5211A19008C,MJU61889106,"Tube,Distributor",,미매핑,
5211A19008D,3H00815H,Expendables_,,미매핑,
5211A19008J,3H00815H,Expendables_,,미매핑,
5211A19008K,3H00815H,Expendables_,,미매핑,
5211A20297Z,3A02531P,"Tube,Distributor",,미매핑,
5211A20297Z,3H00815J,Expendables_,,미매핑,
5211A20349P,3H00815H,Expendables_,,미매핑,
5211A20349P,4930A20053A,"Holder,Sensor",,미매핑,
5211A20349T,3H00815J,Expendables_,,미매핑,
5211A20349Z,RAC30599301,Solder Soldering,,미매핑,
5211A20356M,3H00815J,Expendables_,,미매핑,
5211A20356U,3H00815J,Expendables_,,미매핑,
5211A20356W,3H00815H,Expendables_,,미매핑,
5211A20459E,3H00815H,Expendables_,,미매핑,
5211A20459E,49112009,Expendables_,,미매핑,
5211A20459E,FAD30146403,"Nut,Customized",,미매핑,
5211A20466L,3H00815J,Expendables_,,미매핑,
5211A20466L,3H01582B,Tie,,미매핑,
5211A20466L,49113007,Solder Soldering,,미매핑,
5211A20466L,5410A30055S,"Insulator,Tube",,미매핑,
5211A21806A,3H00739A,Spring,,미매핑,
5211A21806A,49113007,Solder Soldering,,미매핑,
5211A21806A,5006AR4091C,Cap,,미매핑,
5211A21806A,53402025,"Tape,Filament",,미매핑,
5211A21806A,RAC30599301,Solder Soldering,,미매핑,
5211A21811B,3H00815H,Expendables_,,미매핑,
5211A21811B,3H01582B,Tie,,미매핑,
5211A21811B,49112009,Expendables_,,미매핑,
5211A21813B,3H00815J,Expendables_,,미매핑,
5211A21813B,49112009,Expendables_,,미매핑,
