자도번,품명,제작구분,가공공정,사용도번(예),사용처수,← 담당: 세트입고 협력사
MJU62969702,"Tube,Capi",2,,MJU39074315,11,
AJR74983904-12-2,대원 SUB,2,,AJR74983904-S1-1,6,
AJR74983904-12-3,대원 SUB,2,,AJR74983904-S1-2,6,
AJR74983905-12-1,대원 SUB,2,S4,AJR74983905,5,
AJR74983905-12-2,대원 SUB,2,,AJR74983905-S1-1,5,
MJU62969701,"Tube,Capi",2,,MJU62968501,5,
5001A30010X,Accessory Assembly,2,,AET72910816,4,
AAB73230902,Accumulator Assembly,2,,AAB73230902-0,4,
AAA72940307,Accessory Assembly,2,,AET72910041,3,
AAA72940313,Accessory Assembly,2,,AET73671501,3,
AJJ73640101,Supporter Assembly,2,S2,AJR73981101,3,
AJR74983904-12-1,대원 SUB,2,S1,AJR74983904,3,
MJU62388708,"Tube,Capillary",2,,MJU62356330,3,
3H02059F,"Tube Assembly, Installation",2,,AET72910307,2,
3H02059J,"Tube Assembly, Installation",2,,AET72910312,2,
5210A23513C,"Tube,Capillary Bending",2,RAC,AJR37048401,2,
AAB73230902-2,SUB ASSY,2,S2,AJR74105601,2,
AJR30060701,"Tube Assembly,Condenser(In)",2,RAC,AJR30060702,2,
AJR30125601-3-2,이젠터 SUB,2,S1,AJR30125601,2,
AJR36852207-4-1,미래 SUB,2,S6,AJR36852207,2,
AJR52737623,AJR52737623,2,RAC,AJJ73898618,2,
AJR55707001-J&I,태국 SUB,2,S6,AJR55707001,2,
AJR55707101-2-1,외주 SUB,2,,AJR55707101-14-1,2,
AJR71429420-3-1,AJR71429420-3-1,2,RAC,AJR71429420,2,
AJR74662704,"Tube Assembly,Suction",2,,AJR74662703-7-1,2,
AJR74984303-13-4,엠케이 SUB,2,,AJR74984304-13-2,2,
AJR75243007-3-1,SUB ASSY,2,,AJR75243007,2,
AJR75662308-4-1,미래 SUB,2,,AJR75662311,2,
AJR75842506,6.35*5M L/W (SUB)-뽐삐X,2,,AET73831407,2,
AJR75842507,9.52*5M L/W (SUB)-뽐삐X,2,,AET73831407,2,
AJR75842529,"Tube Assembly, Installation",2,,AET73831429,2,
AJR76442502-삼화,삼화 벨로즈 SUB,2,,AJR76442502,2,
AJR76442504-삼화,삼화 벨로즈 SUB,2,RAC,AJR76442504,2,
AJR77223105,"Tube Assembly,Discharge",2,,AJR77222905,2,
MJU32340801,"TUBE, CAPILLARY BENDING",2,S6,5211A10570G,2,
