Assy,품번,견적서소요량,수불장소요량,업체명
5211A20459-12-1,5210A30554F,4.0,1.0,대원산업
AJR30003301,MJU66748701,4.0,1.0,"대원산업,이젠터"
AJR30069601,MJU66913801,2.0,1.0,케이비
AJR30073601,MJU63711305,2.0,1.0,미래정밀
AJR30075101,MJU66927901,2.0,1.0,케이비
AJR30075101,MJU66927902,2.0,1.0,케이비
AJR30075101,MJU66927903,4.0,1.0,케이비
AJR30075401,MJU66928302,2.0,1.0,이젠터
AJR34739820,MJU63748402,1.0,4.0,이젠터
AJR73022901,MJU62028802,1.0,2.0,미래정밀
AJR74364911,MJU64959103,11.0,1.0,"미래정밀,중앙정밀"
AJR74444508,MJU63748402,1.0,4.0,"대원산업,이젠터,케이비"
AJR74444509,MJU63748402,4.0,1.0,이젠터
AJR74943202,MJU62842317,1.0,2.0,"미래정밀,이젠터"
AJR74963102,MJU62842304,2.0,1.0,이젠터
AJR74984303-1-1,MJU64671101,7.0,1.0,중앙정밀
AJR74984303-1-1,MJU64671102,4.0,1.0,중앙정밀
AJR74984303-1-2,MJU64671101,3.0,1.0,중앙정밀
AJR74984305-1-1,MJU64671101,7.0,1.0,중앙정밀
AJR74984305-1-1,MJU64671102,4.0,1.0,중앙정밀
AJR74984305-1-2,MJU64671101,3.0,1.0,중앙정밀
AJR74985503,MJU64266912,2.0,1.0,중앙정밀
AJR75123901,MJU64350501,6.0,1.0,이젠터
AJR75123901,MJU64350601,2.0,1.0,이젠터
AJR75243105,MJU64431905,2.0,1.0,"미래정밀,이젠터"
AJR75243119,MJU63626311,3.0,1.0,"대원산업,이젠터"
AJR75482701,MJU63000101,3.0,1.0,이젠터
AJR75743209,MJU64927120,1.0,4.0,"미래정밀,중앙정밀"
AJR76522501,MJU62672406,1.0,3.0,"미래정밀,중앙정밀"
AJR76562811,MJU65789209,7.0,1.0,케이비
AJR77182901,MJU66466801,10.0,1.0,대원산업
AJR77182901,MJU66466901,1.0,10.0,대원산업
