품번,품명,유형,사내거래처,매입가(JS제외),매입가출처,견적재료비,비고
3H03659C,"Tube,Connector",사급부품,축관반(사내);제이에스,525,축관반(사내),629,
3H03659L,"Tube,Connector",사급부품,축관반(사내);제이에스,525,축관반(사내),1774,
3H03659M,"Tube,Connector",사급부품,축관반(사내);제이에스,525,축관반(사내),624,
3H03659V,Strainer,사급부품,축관반(사내);제이에스,832,축관반(사내),832,
3H03659W,Strainer,사급부품,축관반(사내);제이에스,525,축관반(사내),538,
4A00232S,Muffler,사급부품,가공반(사내);축관반(사내);제이에스,1456,축관반(사내),2912,
4H00049A,"TUBE,PINCHOFF",사급부품,가공반(사내);제이에스,146,가공반(사내),249,
4H00901F,"Tube,Connector",사급부품,가공반(사내);제이에스,156,가공반(사내),159,
5210A22409A,"Tube,Connector",사급부품,축관반(사내);제이에스,51,축관반(사내),57,
5210A22409B,"Tube,Connector",사급부품,축관반(사내);제이에스,61,축관반(사내),67,
5210A22840A,"Tube,Connector",사급부품,가공반(사내);제이에스,100,가공반(사내),107,
5210A23089A,"Tube,Connector",사급부품,가공반(사내);제이에스,176,가공반(사내),402,
5210A23089D,"Tube,Connector",사급부품,가공반(사내);제이에스,241,가공반(사내),527,
5210A23376A,"Tube,Connector",사급부품,가공반(사내);제이에스,251,가공반(사내),552,
5210A30334L,"Tube,Connector",사급부품,가공반(사내);제이에스,146,가공반(사내),135,
5210A30334M,"Tube,Connector",동관,가공반(사내);제이에스,254,가공반(사내),254,
5210A31939A,"Tube,Connector",사급부품,제이에스,285,제이에스,150,JS만(가격신뢰X)
5224A20002A,Strainer,사급부품,축관반(사내);제이에스,832,축관반(사내),848,
5224A20002P,Strainer,사급부품,축관반(사내);제이에스,2089,축관반(사내),2278,
5224A20002T,Strainer,사급부품,축관반(사내);제이에스,853,축관반(사내),853,
5224A20002W,strainer,사급부품,축관반(사내);제이에스,672,축관반(사내),1018,
5224A20005A,Strainer,사급부품,축관반(사내);제이에스,2959,축관반(사내),2959,
5224A20005D,Strainer,사급부품,축관반(사내);제이에스,2959,축관반(사내),6195,
