거래처,품번,엑셀집계재료비,우리재료비(정답),원소재,용접봉,부속품,차이(엑셀-우리),재료비율%,플래그
대원산업,AJR77224501-12-1,14578,1218,569,29,620,13360,78.1,엑셀오류의심
중앙정밀,AJR74984305-1-1,429,12033,3540,182,8311,-11604,88.5,엑셀오류의심
미래정밀,AJR65507733,1892,12062,0,44,12018,-10170,86.3,엑셀오류의심
중앙정밀,AJR74984303-1-1,429,10342,3540,182,6620,-9913,86.9,엑셀오류의심
미래정밀,AJR74364911,21472,16607,752,384,15471,4865,79.4,엑셀오류의심
미래정밀,AJR73342803,7412,3097,593,68,2436,4315,73.6,엑셀오류의심
미래정밀,MJU65666836+39,3486,6838,0,37,6801,-3352,153.0,엑셀오류의심
대원산업,AJR72982301,17980,15241,722,695,13824,2739,67.1,엑셀오류의심
미래정밀,AJR73324501,5948,3330,45,75,3210,2618,79.1,엑셀오류의심
미래정밀,AJR73342801,4768,2303,45,68,2190,2465,76.1,엑셀오류의심
중앙정밀,AJR77224502-1-2,2247,30,0,30,0,2217,1.1,엑셀오류의심
중앙정밀,AJR30228805,2282,79,79,0,0,2203,53.4,엑셀오류의심
중앙정밀,AJR77225303,4035,2010,2010,0,0,2025,65.5,엑셀오류의심
미래정밀,AJR75662337 고강도 변경,2772,850,584,20,246,1922,24.0,엑셀오류의심
대원산업,AJR77182901,10132,8350,823,147,7380,1782,65.7,엑셀오류의심
대원산업,MJU66166611,11995,10284,9364,0,920,1711,90.5,엑셀오류의심
대원산업,AJR77182801,10589,8937,846,189,7902,1652,68.4,엑셀오류의심
중앙정밀,AJR75483701,3888,2317,2317,0,0,1571,69.0,엑셀오류의심
미래정밀,AJR75662332 고강도 변경,1649,240,0,0,240,1409,11.9,엑셀오류의심
대원산업,AJR74263316,1882,3287,2733,60,494,-1405,120.8,엑셀오류의심
미래정밀,AJR75463302,273,1634,1218,11,405,-1361,89.0,엑셀오류의심
미래정밀,AJR74364921,18100,16799,708,576,15516,1301,77.5,엑셀오류의심
중앙정밀,AJR36478203,1573,2629,2629,0,0,-1056,70.4,엑셀오류의심
대원산업,AJR76823801,8899,7882,7268,94,520,1017,87.9,엑셀오류의심
썬텍코리아,AJR76562804-20-1,10321,9331,9200,130,0,990,77.2,엑셀오류의심
미래정밀,AJR30123401,5822,4843,405,60,4378,979,72.1,엑셀오류의심
미래정밀,AJR75523201-4-1,875,1828,0,90,1738,-953,83.9,엑셀오류의심
명진산업,AJR73965601-19-9,1350,400,0,10,390,950,25.7,엑셀오류의심
명진산업,AJR73965601-19-10,1421,471,0,25,446,950,27.3,엑셀오류의심
명진산업,AJR73965602-19-9,1350,400,0,10,390,950,25.7,엑셀오류의심
명진산업,AJR73965602-19-10,1421,471,0,25,446,950,27.3,엑셀오류의심
명진산업,AJR73965602-19-7,1260,400,0,10,390,860,27.3,엑셀오류의심
명진산업,AJR73965602-19-8,1260,400,0,10,390,860,27.3,엑셀오류의심
대원산업,AJR76823803,7931,7082,6468,94,520,849,87.5,엑셀오류의심
미래정밀,AJR73324503,5397,4570,165,75,4329,827,72.3,엑셀오류의심
명진산업,AJR73965602-19-4,1100,400,0,10,390,700,30.7,엑셀오류의심
명진산업,AJR73965602-19-5,1100,400,0,10,390,700,30.7,엑셀오류의심
명진산업,AJR73965602-19-6,1100,400,0,10,390,700,30.7,엑셀오류의심
명진산업,AJR73965602-19-1,1080,400,0,10,390,680,31.4,엑셀오류의심
명진산업,AJR73965602-19-2,1080,400,0,10,390,680,31.4,엑셀오류의심
