품번,협력사,담당외경,담당T,담당길이,담당개당중량,내외경,내T,내길이,내개당중량,원인,비고
MJU64671118,케이비,9.52,0.55,367.0,0.05085,9.52,0.55,305.0,0.04226,길이 담당367.0/내305.0,
MJU64867636,케이비,7.94,0.55,973.0,0.11107,7.94,0.55,998.0,0.11393,길이 담당973.0/내998.0,★월/Assy별 치수 여러개
12.7 SAMPLE,케이비,12.7,0.75,269.0,0.06771,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.6*L154 고강도 1212*60=72720 개발 박준수 과장 요청,미래,12.7,0.55,154.0,0.0289,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.75*167,미래,12.7,0.75,167.0,0.04204,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.75*186,미래,12.7,0.75,186.0,0.04682,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.75*201,미래,12.7,0.75,201.0,0.0506,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.75*220,미래,12.7,0.75,220.0,0.05538,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.75*268 2550*5=12750 개발신윤철 요청,미래,12.7,0.75,268.0,0.06746,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.75*300 2855*5=14275 개발윤동한 요청,미래,12.7,0.75,300.0,0.07552,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.75*419 3985*5=19925 개발윤동한 요청,미래,12.7,0.75,419.0,0.10547,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.75*52 495*10=4950 개발윤동한 요청,미래,12.7,0.75,52.0,0.01309,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.75*565 5375*5=26875 개발윤동한 요청,미래,12.7,0.75,565.0,0.14222,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.75*807 4608*5=23040 자재 제형제 차장님 보고,미래,12.7,0.75,807.0,0.20314,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.75*93MM 531*10=5310원    개발 윤동한 사원 요청,미래,12.7,0.75,93.0,0.02341,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.75*956 9100*5=45500 개발윤동한 요청,미래,12.7,0.75,956.0,0.24064,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.75*977 9300*5=46500 개발윤동한 요청,미래,12.7,0.75,977.0,0.24593,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.75*L1000,미래,12.7,0.75,1000.0,0.25172,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.75*L1000  5709*100=570900  고강도/SVC (개발 박준수 과장 요청),미래,12.7,0.75,1000.0,0.25172,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.75*L154 인탈산 717*60=43020 개발 박준수 과장 요청,미래,12.7,0.75,154.0,0.03877,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.75*L162 1540*7=10780 개발 윤동한 주임 요청,미래,12.7,0.75,162.0,0.04078,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.75*L200 1143*200=228600  개발 박준수 과장 요청,미래,12.7,0.75,200.0,0.05034,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.75*L233 2215*3=6645 개발 김경민 요청,미래,12.7,0.75,233.0,0.05865,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.75*L456 4340*7=30380 개발 윤동한 주임 요청,미래,12.7,0.75,456.0,0.11478,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.75*L68 387*20=7740 제형제 차장 요청,미래,12.7,0.75,68.0,0.01712,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.75*L902 8585*3=25755 서비스,미래,12.7,0.75,902.0,0.22705,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.75 L:500 2856*200=571200,미래,12.7,0.75,500.0,0.12586,,,,,미등록(비품번:설명/샘플/스펙),
15.88*0.9*1000,미래,15.88,0.95,1000.0,0.39836,,,,,미등록(비품번:설명/샘플/스펙),
15.88*0.95*192,미래,15.88,0.95,192.0,0.07648,,,,,미등록(비품번:설명/샘플/스펙),
15.88*0.95*200,미래,15.88,0.95,200.0,0.07967,,,,,미등록(비품번:설명/샘플/스펙),
15.88*0.95*225 3385*12=40620 개발신윤철,미래,15.88,0.95,225.0,0.08963,,,,,미등록(비품번:설명/샘플/스펙),
15.88*0.95*257,미래,15.88,0.95,257.0,0.10238,,,,,미등록(비품번:설명/샘플/스펙),
15.88*0.95*372 5595*12=67140 개발신윤철,미래,15.88,0.95,372.0,0.14819,,,,,미등록(비품번:설명/샘플/스펙),
15.88*0.95*425,미래,15.88,0.95,425.0,0.1693,,,,,미등록(비품번:설명/샘플/스펙),
15.88*0.95*L1000,미래,15.88,0.95,1000.0,0.39836,,,,,미등록(비품번:설명/샘플/스펙),
15.88*0.95*L1205 19120*2=38240 자재 제형제 차창 요청,미래,15.88,0.95,1205.0,0.48002,,,,,미등록(비품번:설명/샘플/스펙),
15.88*0.95*L232 3490*7=24430 개발 윤동한 주임 요청,미래,15.88,0.95,232.0,0.09242,,,,,미등록(비품번:설명/샘플/스펙),
15.88*0.95*L277 4165*10=41650 개발 신윤철 요청,미래,15.88,0.95,277.0,0.11034,,,,,미등록(비품번:설명/샘플/스펙),
15.88*0.95*L300 2706*200=541200 개발 박준수 과장 요청,미래,15.88,0.95,300.0,0.11951,,,,,미등록(비품번:설명/샘플/스펙),
15.88*0.95*L301.1 4530*10=45300 개발 신윤철 요청,미래,15.88,0.95,301.0,0.1199,,,,,미등록(비품번:설명/샘플/스펙),
15.88*0.95*L750  6768*100=676800 고강도/SVC (개발 박준수 과장 요청),미래,15.88,0.95,750.0,0.29877,,,,,미등록(비품번:설명/샘플/스펙),
15.88*0.95 L:500 4512*100=451200,미래,15.88,0.95,500.0,0.19918,,,,,미등록(비품번:설명/샘플/스펙),
15.88*01.95*437 6570*8=52560 개발신윤철,미래,15.88,0.95,437.0,0.17408,,,,,미등록(비품번:설명/샘플/스펙),
19.05*0.95 L:500 5424*100=545400,미래,19.05,0.95,500.0,0.24147,,,,,미등록(비품번:설명/샘플/스펙),
31.75*1.25*1031,미래,31.75,1.15,1031.0,1.01898,,,,,미등록(비품번:설명/샘플/스펙),★월/Assy별 치수 여러개
4.76*0.65*198,미래,4.76,0.65,198.0,0.01486,,,,,미등록(비품번:설명/샘플/스펙),
4.76*0.65*260,미래,4.76,0.65,260.0,0.01951,,,,,미등록(비품번:설명/샘플/스펙),
4.76*0.65*L164 490*2=980  김승진 대리 요청,미래,4.76,0.65,164.0,0.0123,,,,,미등록(비품번:설명/샘플/스펙),
4.76*0.65*L171    510*5=2550 자재 윤태선 요청,미래,4.76,0.65,171.0,0.01283,,,,,미등록(비품번:설명/샘플/스펙),
4.76*0.65*L180 535*2=1070  김승진 대리 요청,미래,4.76,0.65,180.0,0.01351,,,,,미등록(비품번:설명/샘플/스펙),
4.76*0.65*L187    555*5=2775 자재 윤태선 요청,미래,4.76,0.65,187.0,0.01403,,,,,미등록(비품번:설명/샘플/스펙),
4.76*0.65*L326 970*2=1940  김승진 대리 요청,미래,4.76,0.65,326.0,0.02446,,,,,미등록(비품번:설명/샘플/스펙),
4.76*0.65*L333    990*5=4950 자재 윤태선 요청,미래,4.76,0.65,333.0,0.02499,,,,,미등록(비품번:설명/샘플/스펙),
5210A0100B(*2)],이젠터,9.52,0.65,50.0,0.0081,,,,,미등록(비품번:설명/샘플/스펙),
5210A21400B(핀쵸프),MTS,6.35,0.7,80.0,0.00889,,,,,미등록(비품번:설명/샘플/스펙),
5998A20002A-2번,MTS,15.88,0.95,88.0,0.03506,,,,,미등록(비품번:설명/샘플/스펙),
5998A20002A-3번,MTS,15.88,0.95,232.0,0.09242,,,,,미등록(비품번:설명/샘플/스펙),
5998A20002A-4번,MTS,12.7,0.75,120.0,0.03021,,,,,미등록(비품번:설명/샘플/스펙),
