P/N,품명,견적_외경,견적_두께,견적_길이,견적_중량(kg),정산_외경,정산_두께,정산_길이,정산_중량(kg),중량차이,마스터스펙
MJU61987001,"Tube,Connector",22.22,1.15,520.0,0.35388,22.22,1.15,605.0,0.41172,-0.05785,
MJU64787402,"Tube,Connector",9.52,1.45,910.0,0.29907,9.52,1.45,970.0,0.31879,-0.01972,
MJU64408006,"Tube,Connector",7.94,0.65,917.0,0.12204,12.7,0.75,908.0,0.22856,-0.10652,
MJU00702206,"Tube,Connector",9.52,0.65,396.0,0.06412,15.88,0.95,398.0,0.15855,-0.09442,
MJU64432303,"Tube,Manifold",9.52,0.65,365.0,0.0591,9.52,0.65,960.0,0.15545,-0.09635,
MJU00702208,"Tube,Connector",9.52,0.65,380.0,0.06153,15.88,0.95,388.0,0.15456,-0.09303,
MJU62287008,"Tube,Connector",15.88,0.95,269.0,0.10716,15.77,0.95,368.0,0.14551,-0.03836,
MJU66480602,"Tube,Connector",9.52,1.45,410.0,0.13475,9.52,1.45,432.0,0.14198,-0.00723,
MJU65626504,"Tube,Connector",15.88,0.95,335.0,0.13345,15.88,0.95,354.0,0.14102,-0.00757,
MJU62843803,"Tube,Connector",12.7,0.75,778.0,0.19584,9.52,0.65,778.0,0.12598,0.06986,CUTTING C1220T CU P9.52 T0.7 L/W C1220T-O AS-W126BSA3
MJU63947901,"Tube,Connector",6.35,0.65,1156.0,0.12029,6.35,0.65,1183.0,0.1231,-0.00281,
MJU64867636,"Tube,Connector",7.94,0.55,998.0,0.11393,7.94,0.55,973.0,0.11107,0.00285,
MJU63788101,"Tube,Connector",15.88,0.95,288.0,0.11473,15.88,0.95,278.0,0.11074,0.00398,
MJU55250505,Tube Connector,9.52,0.65,448.0,0.07254,12.7,0.75,436.0,0.10975,-0.03721,
MJU66566911,"Tube,Connector",15.88,0.95,249.6,0.09943,15.88,0.95,257.0,0.10238,-0.00295,
MJU65630503,"Tube,Connector",9.52,0.65,613.0,0.09926,9.52,0.65,597.0,0.09667,0.00259,
MJU00702203,"Tube,Connector",9.52,0.65,452.0,0.07319,15.88,0.95,240.0,0.09561,-0.02241,
MJU62792003,"Tube,Connector",12.7,0.75,362.0,0.09112,12.7,0.75,376.0,0.09465,-0.00352,
MJU62193403,"Tube,Connector",7.94,0.65,627.0,0.08344,7.94,0.65,680.0,0.0905,-0.00705,
MJU65030904,"Tube,Connector",4.76,0.65,1310.0,0.09829,4.76,0.65,1177.0,0.08831,0.00998,
MJU66749603,"Tube,Connector",9.52,0.65,237.0,0.03838,9.52,0.65,542.0,0.08777,-0.04939,
MJU65030905,"Tube,Connector",4.76,0.65,1586.0,0.119,4.76,0.65,1124.0,0.08434,0.03466,
MJU64979301,"Tube,Connector",9.52,0.65,54.0,0.00874,9.52,0.65,477.0,0.07724,-0.0685,
MJU64979302,"Tube,Connector",9.52,0.65,386.0,0.0625,9.52,0.65,461.0,0.07465,-0.01214,
MJU64086401,Tube Connector,12.7,0.75,270.0,0.06796,12.7,0.75,263.0,0.0662,0.00176,
MJU63318409,"Tube,Connector",6.35,0.9,470.0,0.06475,6.35,0.9,480.0,0.06613,-0.00138,
MJU47312220,"Tube,Connector",22.22,1.15,85.0,0.05785,22.22,1.15,95.0,0.06465,-0.00681,
MJU00702204,"Tube,Connector",15.88,0.95,240.0,0.09561,9.52,0.65,396.0,0.06412,0.03148,
MJU63494302,"Tube,Connector",15.88,0.95,252.0,0.10039,12.7,0.75,252.0,0.06343,0.03695,
MJU66571311,"Tube,Connector",9.52,0.55,503.0,0.0697,9.52,0.55,446.0,0.0618,0.0079,
MJU00702207,"Tube,Connector",15.88,0.95,398.0,0.15855,9.52,0.65,380.0,0.06153,0.09701,
MJU66502909,"Tube,Connector",9.52,0.55,482.0,0.06679,9.52,0.55,423.0,0.05861,0.00818,
MJU62371104,"Tube,Connector",15.88,0.95,187.0,0.07449,15.88,0.95,138.0,0.05497,0.01952,
MJU62811801,Tube Connector,12.7,0.75,430.0,0.10824,12.7,0.75,215.0,0.05412,0.05412,
MJU63612402,"Tube,Connector",12.7,0.75,210.0,0.05286,12.7,0.75,215.0,0.05412,-0.00126,
MJU00702502,"Tube,Connector",7.0,0.65,372.0,0.04312,7.0,0.65,462.0,0.05356,-0.01043,
MJU63406932,"Tube,Connector",9.52,0.65,167.0,0.02704,12.7,0.75,203.0,0.0511,-0.02406,
MJU64979305,"Tube,Condenser",9.52,0.65,480.0,0.07773,6.35,0.65,480.0,0.04995,0.02778,
MJU64711801,"Tube,Connector",12.7,0.75,640.0,0.1611,9.52,0.65,308.0,0.04987,0.11123,
MJU66913702,"Tube, Manifold",12.7,0.75,203.0,0.0511,12.7,0.75,196.0,0.04934,0.00176,
MJU65207202,"Tube,Connector",6.35,0.9,366.0,0.05042,6.35,0.9,355.0,0.04891,0.00152,
MJU41838722,"Tube,Connector",15.88,0.95,124.0,0.0494,15.88,0.95,121.0,0.0482,0.0012,
MJU66571310,"Tube,Connector",9.52,0.55,406.0,0.05626,9.52,0.55,347.0,0.04808,0.00818,
MJU66478204,"Tube,Connector",12.7,0.75,177.0,0.04455,12.7,0.75,181.0,0.04556,-0.00101,
MJU65986405,Tube Connector,9.52,0.65,433.0,0.07012,6.35,0.65,433.0,0.04506,0.02506,
MJU00702209,"Tube,Connector",15.88,0.95,388.0,0.15456,7.0,0.65,372.0,0.04312,0.11144,
MJU64671118,"Tube,Connector",9.52,0.55,367.0,0.05085,9.52,0.55,305.0,0.04226,0.00859,
MJU65207201,"Tube,Connector",6.35,0.9,322.0,0.04436,6.35,0.9,305.0,0.04202,0.00234,
MJU66904601,"Tube,Connector",15.88,0.95,100.0,0.03984,15.88,0.95,104.0,0.04143,-0.00159,
MJU64906801,"Tube,Connector",6.35,0.65,392.0,0.04079,6.35,0.65,384.0,0.03996,0.00083,
MJU64671106,"TUBE,CONNECTOR",9.52,0.65,249.0,0.04032,9.52,0.65,244.0,0.03951,0.00081,
MJU66954704,Tube Connector,9.52,0.65,214.0,0.03465,9.52,0.65,240.0,0.03886,-0.00421,
5210A27925B,"Tube,Connector",7.94,0.65,272.0,0.0362,7.94,0.65,290.0,0.03859,-0.0024,
MJU64429227,"Tube,Connector",5.0,0.65,155.0,0.01231,5.0,0.65,467.0,0.03709,-0.02478,
MJU64712101,"Tube,Connector",9.52,0.65,222.0,0.03595,9.52,0.65,227.0,0.03676,-0.00081,
MJU64707801,"Tube,Connector",12.7,0.75,135.0,0.03398,12.7,0.75,143.0,0.036,-0.00201,
MJU64731603,"TUBE,CONNECTOR",9.52,0.65,203.0,0.03287,9.52,0.65,208.0,0.03368,-0.00081,
MJU64927307,"Tube,Connector",6.35,0.65,339.0,0.03528,6.35,0.65,316.0,0.03288,0.00239,
5210A24304A,"Tube,Connector",12.7,0.75,136.0,0.03423,12.7,0.75,130.0,0.03272,0.00151,
MJU66959604,Tube Connector,9.52,0.65,201.0,0.03255,9.52,0.65,195.0,0.03158,0.00097,
MJU62842322,"Tube,Connector",12.7,0.75,125.0,0.03146,12.7,0.75,122.0,0.03071,0.00076,
MJU64768801,"Tube,Connector",9.52,0.65,175.0,0.02834,9.52,0.65,187.0,0.03028,-0.00194,
MJU64856701,"Tube,Connector",4.0,0.6,812.0,0.04652,4.0,0.6,524.0,0.03002,0.0165,
MJU66954707,Tube Connector,9.52,0.65,157.0,0.02542,9.52,0.65,183.0,0.02963,-0.00421,
MJU64287701,"Tube,Connector",9.52,1.45,528.0,0.17353,9.52,1.45,90.0,0.02958,0.14395,
MJU65521402,"Tube,Connector",19.05,0.95,57.0,0.02753,19.05,0.95,59.0,0.02849,-0.00097,
MJU66805605,"Tube,Connector",7.0,0.7,245.0,0.03035,7.0,0.65,245.0,0.0284,0.00194,
MJU64671116,"Tube,Connector",9.52,0.55,262.0,0.0363,9.52,0.55,198.0,0.02744,0.00887,
MJU66805608,"Tube,Connector",7.0,0.7,236.0,0.02923,7.0,0.65,236.0,0.02736,0.00187,
5210A29902C,"Tube,Connector",6.35,0.65,248.0,0.02581,6.35,0.65,262.0,0.02726,-0.00146,
MJU63406931,"Tube,Connector",12.7,0.75,203.0,0.0511,9.52,0.65,167.0,0.02704,0.02406,
MJU66805604,"Tube,Connector",7.0,0.7,233.0,0.02886,7.0,0.65,233.0,0.02701,0.00185,
MJU66805607,"Tube,Connector",7.0,0.7,225.0,0.02787,7.0,0.65,225.0,0.02608,0.00179,
MJU62842302,"Tube,Connector",12.7,0.75,102.0,0.02568,12.7,0.75,99.0,0.02492,0.00076,
MJU63751101,"Tube,Connector",4.76,0.65,343.0,0.02574,4.76,0.65,327.0,0.02454,0.0012,사내밴딩
MJU64226617,"Tube,Connector",9.52,0.65,212.0,0.03433,9.52,0.65,151.0,0.02445,0.00988,
MJU62921203,"Tube,Connector",4.76,0.65,340.0,0.02551,4.76,0.65,324.0,0.02431,0.0012,
MJU64794001,"Tube,Connector",4.0,0.6,440.0,0.02521,4.0,0.6,420.0,0.02406,0.00115,
MJU65626704,"Tube,Connector",9.52,0.65,157.0,0.02542,9.52,0.65,148.0,0.02397,0.00146,
MJU66805603,"Tube,Connector",7.0,0.7,199.0,0.02465,7.0,0.65,199.0,0.02307,0.00158,
5210A23376A,"Tube,Connector",9.52,1.45,68.0,0.02235,9.52,1.45,70.0,0.02301,-0.00066,
MJU65626702,"Tube,Connector",9.52,0.65,136.0,0.02202,9.52,0.65,140.0,0.02267,-0.00065,
MJU64707506,"Tube,Connector",6.35,0.65,139.0,0.01446,9.52,0.65,139.0,0.02251,-0.00804,
MJU66932516,"Tube,Connector",9.52,0.65,189.0,0.0306,9.52,0.65,137.0,0.02218,0.00842,
MJU66805602,"Tube,Connector",7.0,0.7,185.0,0.02291,7.0,0.65,185.0,0.02145,0.00147,
5210A30866H,"Tube,Connector",9.52,0.65,126.0,0.0204,9.52,0.65,131.0,0.02121,-0.00081,
MJU64671115,"Tube,Connector",9.52,0.55,144.0,0.01995,9.52,0.55,153.0,0.0212,-0.00125,
MJU64047701,"Tube,Connector",6.35,0.65,206.0,0.02144,6.35,0.65,194.0,0.02019,0.00125,
MJU64047801,"Tube,Connector",6.35,0.65,206.0,0.02144,6.35,0.65,194.0,0.02019,0.00125,
5210A30340A,"Tube,Connector",7.94,0.65,118.0,0.0157,9.52,0.65,124.0,0.02008,-0.00438,
MJU62078801,"Tube,Connector",4.76,0.7,260.0,0.02075,4.76,0.65,261.0,0.01958,0.00117,
MJU64868533,"Tube,Connector",6.35,0.65,173.0,0.018,6.35,0.7,173.0,0.01922,-0.00121,
MJU63548431,"Tube,Connector",4.76,0.65,288.0,0.02161,4.76,0.55,288.0,0.01873,0.00288,
MJU66932515,"Tube,Connector",9.52,0.65,88.0,0.01425,9.52,0.65,115.0,0.01862,-0.00437,
MJU66479601,"Tube,Connector",9.52,0.65,273.0,0.04421,9.52,0.65,115.0,0.01862,0.02558,
MJU63548430,"Tube,Connector",4.76,0.65,286.0,0.02146,4.76,0.55,286.0,0.0186,0.00286,
MJU64873807,"Tube,Connector",4.76,0.65,250.0,0.01876,4.76,0.65,243.0,0.01823,0.00053,
5210A29901C,"Tube,Connector",4.76,0.7,244.0,0.01948,4.76,0.65,243.0,0.01823,0.00124,
MJU64868502,"TUBE,CONNECTOR",6.35,0.65,179.0,0.01863,6.35,0.65,172.0,0.0179,0.00073,
5210A31627A,"Tube,Connector",4.76,0.65,203.3,0.01525,4.76,0.65,238.0,0.01786,-0.0026,
MJU66954307,"Tube,Connector",9.52,1.45,100.0,0.03286,9.52,0.65,110.0,0.01781,0.01505,
MJU66845502,"Tube,Connector",4.76,0.65,104.0,0.0078,4.76,0.65,231.0,0.01733,-0.00953,
MJU63406929,"Tube,Connector",6.35,0.65,215.0,0.02237,7.94,0.65,130.0,0.0173,0.00507,
MJU65146132,"Tube,Connector",4.76,0.65,237.0,0.01778,4.76,0.65,230.0,0.01726,0.00053,
5210A33939C,"Tube,Connector",6.35,0.65,168.3,0.01751,6.35,0.65,163.0,0.01696,0.00055,
MJU66845504,"Tube,Connector",6.35,0.65,219.0,0.02279,6.35,0.65,162.0,0.01686,0.00593,
5210A22770A,"Tube,Connector",6.35,0.9,153.0,0.02108,6.35,0.65,158.0,0.01644,0.00464,
MJU64875412,"Tube,Connector",6.35,0.65,120.0,0.01249,6.35,0.65,157.0,0.01634,-0.00385,
5210A23089A,"Tube,Connector",6.35,0.65,141.0,0.01467,6.35,0.7,143.0,0.01588,-0.00121,
MJU62732605,Tube Connector,6.35,0.65,138.0,0.01436,6.35,0.7,135.0,0.015,-0.00064,
MJU62491908,"Tube,Connector",6.35,0.7,142.0,0.01577,6.35,0.65,142.0,0.01478,0.001,
MJU66792501,"Tube,Connector",7.0,0.65,73.0,0.00846,7.0,0.65,126.0,0.01461,-0.00614,
4H00901F,"Tube,Connector",6.35,0.65,125.0,0.01301,6.35,0.7,125.0,0.01388,-0.00088,
MJU63000401,"Tube,Connector",6.35,0.65,95.0,0.00989,6.35,0.65,127.0,0.01322,-0.00333,
MJU63548432,"Tube,Connector",4.76,0.65,201.0,0.01508,4.76,0.55,201.0,0.01307,0.00201,
MJU47979202,Tube Connector,4.76,0.65,166.0,0.01246,4.76,0.65,174.0,0.01306,-0.0006,
4H01281C,"Tube,Pinch Off",6.35,0.7,123.0,0.01366,6.35,0.65,125.0,0.01301,0.00066,
MJU64047901,"Tube,Connector",6.35,0.65,132.0,0.01374,6.35,0.65,125.0,0.01301,0.00073,
5211AP4052B,"Tube,Connector",7.94,0.65,142.0,0.0189,7.0,0.65,109.0,0.01264,0.00626,PQ GGPP LP-136CS 2001 PQ
MJU64370101,"Tube,Connector",6.35,0.7,121.0,0.01344,6.35,0.65,121.0,0.01259,0.00085,
MJU64875417,"Tube,Connector",6.35,0.65,157.0,0.01634,6.35,0.65,120.0,0.01249,0.00385,
5210A30050E,"Tube,Connector",9.52,0.65,64.0,0.01036,9.52,0.65,72.0,0.01166,-0.0013,
5210A22172P,"Tube,Connector",6.35,0.65,185.0,0.01925,6.35,0.65,112.0,0.01165,0.0076,
MJU63010009,"Tube,Connector",7.0,0.7,99.0,0.01226,7.0,0.65,99.0,0.01148,0.00079,
5210A26795A,"Tube,Connector",6.35,0.65,90.0,0.00937,6.35,0.65,110.0,0.01145,-0.00208,
5210A26795F,"Tube,Connector",6.35,0.65,120.0,0.01249,6.35,0.65,106.0,0.01103,0.00146,
MJU62968801,"Tube,Connector",4.0,0.6,169.0,0.00968,4.0,0.65,180.0,0.01101,-0.00133,
MJU47979203,Tube Connector,4.76,0.65,127.0,0.00953,4.76,0.65,145.0,0.01088,-0.00135,
MJU63713901,"Tube,Connector",6.35,0.9,74.0,0.01019,6.35,0.9,78.0,0.01075,-0.00055,
5210AP4026A,"Tube,Connector",7.94,0.65,76.0,0.01011,7.94,0.65,80.0,0.01065,-0.00053,
MJU63010008,"Tube,Connector",7.0,0.7,88.0,0.0109,7.0,0.65,88.0,0.0102,0.0007,
5210A26795E,"Tube,Connector",6.35,0.65,110.0,0.01145,6.35,0.65,98.0,0.0102,0.00125,
5210A26795B,"Tube,Connector",6.35,0.65,87.0,0.00905,6.35,0.65,97.0,0.01009,-0.00104,
MJU47146602,"Tube,Connector",7.0,0.65,96.0,0.01113,7.0,0.65,85.0,0.00985,0.00128,
MJU47146603,"Tube,Connector",7.0,0.65,96.0,0.01113,7.0,0.65,85.0,0.00985,0.00128,
MJU62193402,"Tube,Connector",9.52,0.65,80.0,0.01295,9.52,0.65,60.0,0.00972,0.00324,
MJU66749602,"Tube,Connector",9.52,0.65,103.0,0.01668,9.52,0.65,59.0,0.00955,0.00712,
MJU62671603,"Tube,Connector",6.35,0.65,96.0,0.00999,6.35,0.65,91.0,0.00947,0.00052,
5210A26795D,"Tube,Connector",6.35,0.65,106.0,0.01103,6.35,0.65,90.0,0.00937,0.00166,
