품번,파이프수불_치수들,견적서_치수,업체명,사유, 변경 
4H00049A,"6.35x0.65x110  두진산업_거래종료 / 6.35x0.65x112 / 
6.35x0.65x114 / 6.35x0.65x117 / 6.35x0.7x111 / 6.35x0.7x112 / 6.35x0.7x113 / 6.35x0.7x114",6.35x0.65x114 / 6.35x0.7x111 / 6.35x0.7x112 / 6.35x0.7x113 / 6.35x0.7x114,"대원산업,미래정밀,썬텍코리아,이젠터,중앙정밀",업체별 견적 작성시 길이 다름/ PINCH OFF 정T 사용, 6.35*0.7 로진행 및 길이 평균 내서 통일 
4H00901F,6.35x0.65x120 / 6.35x0.7x125 / 7.0x0.65x121,6.35x0.65x120 / 6.35x0.65x125,"대원산업,이젠터",업체별 견적 작성시 길이 다름, 길이 평균 내서 통일 
4H01281C,6.35x0.65x122 / 6.35x0.65x125 / 6.35x0.65x137 / 6.35x0.7x73 / 6.35x0.7x120,6.35x0.65x123 / 6.35x0.65x125 / 6.35x0.7x120 / 6.35x0.7x123,"대원산업,미래정밀,이젠터,중앙정밀",업체별 견적 작성시 길이 다름, 길이 평균 내서 통일 
5210A22520B,6.35x0.65x65_이젠터 옛날 기록 / 6.35x0.9x67 / 6.35x0.9x70 / 6.35x0.9x72,6.35x0.9x70 / 6.35x0.9x71,"MTS,이젠터,중앙정밀,케이비",업체별 견적 작성시 길이 다름, 길이 평균 내서 통일 
5210A22950A,6.35x0.65x171 / 6.35x0.7x173,6.35x0.65x171 / 6.35x0.7x173,"미래정밀,이젠터",업체별 견적 작성시 길이 다름, 길이 평균 내서 통일 
5210A23089A,6.35x0.65x142 / 6.35x0.65x144 / 6.35x0.7x141 / 6.35x0.7x143 / 6.35x0.7x144,6.35x0.65x141 / 6.35x0.7x141 / 6.35x0.7x143 / 6.35x0.7x144,"대원산업,미래정밀,이젠터,중앙정밀",업체별 견적 작성시 길이 다름, 0.7로 통일 및 길이 평균내서 통일 
5210A24673B,12.7x0.75x68 / 19.05x0.95x353 / 19.05x0.95x383,(견적서 없음),MTS, mts는 자재 견적 아니라서 확인이 불가능.. ,
5210A31939A,6.35x0.65x143 / 6.35x0.7x143 / 6.35x0.7x144 / 6.35x0.7x145 / 6.35x0.7x147,6.35x0.65x143 / 6.35x0.65x145 / 6.35x0.7x144 / 6.35x0.7x145,"명진산업,미래정밀,이젠터,중앙정밀",업체별 견적 작성시 길이 다름, 길이 평균 내서 통일 
DISCHARGE-PART1,12.7x0.75x773 / 12.7x0.75x932 / 22.22x1.15x287,(견적서 없음),미래정밀,,
DISCHARGE-PART2,9.52x0.65x182 / 22.22x1.15x198,(견적서 없음),미래정밀,,
MJU30588601,4.76x0.65x117 / 4.76x0.65x118 / 9.52x0.65x215,4.76x0.65x117 / 4.76x0.65x118 / 9.52x0.65x215,"미래정밀,케이비",업체별 견적 작성시 길이 다름, 길이 평균 내서 통일 
MJU41254401,6.35x0.65x170 / 7.0x0.65x172,7.0x0.65x172,"미래정밀,중앙정밀",업체별 견적 작성시 길이 다름, 6.35 통일 
MJU41254402,6.35x0.65x150 / 7.0x0.65x151,7.0x0.65x151,"미래정밀,중앙정밀",업체별 견적 작성시 길이 다름, 6.35 통일 
MJU41254403,6.35x0.65x176 / 7.0x0.65x181,7.0x0.65x181,"미래정밀,중앙정밀",업체별 견적 작성시 길이 다름, 6.35로 통일 
MJU41254404,6.35x0.65x155 / 7.0x0.65x155,7.0x0.65x155,"미래정밀,중앙정밀",업체별 견적 작성시 길이 다름, 6.35로 통일 
MJU42911802,9.52x1.45x40 / 19.05x0.95x391,9.52x1.45x40,"MTS,케이비",업체별 견적 작성시 길이 다름, 9.52*1.45로 통일 및 길이 평균 내서 통일 
MJU47978304,7.94x0.55x235 / 7.94x0.65x231 / 7.94x0.65x232 / 7.94x0.65x235,7.94x0.55x235 / 7.94x0.65x231 / 7.94x0.65x232 / 7.94x0.65x235,"미래정밀,썬텍코리아",업체별 견적 작성시 길이 다름, MJU47978304_ 0.65  고강도 시방 MJU66929406 _ 0.55 
MJU47978305,6.35x0.55x155 / 6.35x0.65x154 / 6.35x0.65x155,6.35x0.55x155 / 6.35x0.65x154 / 6.35x0.65x155,"미래정밀,썬텍코리아",업체별 견적 작성시 길이 다름, MJU47978305_0.65 고강도 시방 MJU66929407 _ 0.55 
MJU55250505,9.52x0.65x448 / 12.7x0.75x436 / 12.7x0.75x448,9.52x0.65x448 / 12.7x0.75x448,미래정밀,업체별 견적 작성시 길이 다름, 12.7로 통일 
MJU58941308,6.35x0.55x100 / 6.35x0.65x98 / 6.35x0.65x100 / 6.35x0.65x101,6.35x0.55x100 / 6.35x0.65x98 / 6.35x0.65x100 / 6.35x0.65x101,"미래정밀,썬텍코리아,이젠터",업체별 견적 작성시 길이 다름, MJU58941308_0.65 / 고강도 시방 MJU66929502 _0.55 
MJU58941309,6.35x0.55x118 / 6.35x0.65x117 / 6.35x0.65x118 / 6.35x0.65x119,6.35x0.55x118 / 6.35x0.65x117 / 6.35x0.65x118 / 6.35x0.65x119,"미래정밀,썬텍코리아,이젠터",업체별 견적 작성시 길이 다름, MJU58941309_0.65 /고강도 시방 MJU66929503_0.55 
MJU58941310,6.35x0.55x186 / 6.35x0.65x185 / 6.35x0.65x186 / 6.35x0.65x190,6.35x0.55x186 / 6.35x0.65x185 / 6.35x0.65x186 / 6.35x0.65x187 / 6.35x0.65x190,"대원산업,미래정밀,썬텍코리아,이젠터",업체별 견적 작성시 길이 다름, MJU58941310_0.65/ 고강도 시방 MJU66929504 _ 0.55 
MJU58941311,12.7x0.6x292 / 12.7x0.75x289 / 12.7x0.75x290 / 12.7x0.75x292,12.7x0.6x292 / 12.7x0.75x289 / 12.7x0.75x290 / 12.7x0.75x292,"미래정밀,썬텍코리아,이젠터",업체별 견적 작성시 길이 다름, 12.7*0.65 및 평균길이로 통일 
MJU62287008,15.77x0.95x368 / 15.88x0.95x269 / 15.88x0.95x368 / 15.88x0.95x369,15.88x0.95x269,케이비,업체별 견적 작성시 길이 다름, 15.88로 통일 
MJU62392701,5.0x0.65x435 / 6.35x0.65x435,5.0x0.65x435 / 6.35x0.65x435,"미래정밀,중앙정밀",업체별 견적 작성시 길이 다름, 6.35*0.65로 통일 
MJU62732605,6.35x0.65x137 / 6.35x0.7x135 / 6.35x0.7x137 / 6.35x0.7x138,6.35x0.65x137 / 6.35x0.65x138 / 6.35x0.7x135 / 6.35x0.7x147,"미래정밀,중앙정밀",업체별 견적 작성시 길이 다름, 6.35*0.7로 통일 
MJU62792304,15.88x0.95x247 / 15.88x0.95x249 / 15.88x0.98x247,15.88x0.95x249,케이비,업체별 견적 작성시 길이 다름, 15.88*0.95 통일 
MJU62837001,7.94x0.65x610 / 9.52x0.65x53,(견적서 없음),이젠터,업체별 견적 작성시 길이 다름," AJR30060701 _ MJU66900101 7.94*0.65*610 임 수불내역 수정 되어야 함
MJU62837001 길이 9.52*0.65*53 맞음 "
