품번,치수종류수,치수1(외경xTx길이),치수1협력사,치수2,치수2협력사,치수3,치수3협력사,내coop값
L-TUBE,46,19.05x0.95x518,MTS,19.05x0.95x332,MTS,19.05x0.95x365,MTS,19.05x0.95x518
DISCHARGE,21,9.52x0.65x697,미래,9.52x0.65x679,미래,9.52x0.65x1191,미래,9.52x0.65x697
SUCTION,21,12.7x0.75x909,미래,6.35x0.65x90,미래,12.7x0.75x883,미래,12.7x0.75x909
S-TUBE,21,19.05x0.95x283,MTS,19.05x0.95x140,MTS,15.88x0.95x53,MTS,19.05x0.95x283
4H00049A,8,6.35x0.7x112,"미래,썬텍",6.35x0.65x112,"이젠터,중앙",6.35x0.7x113,대원,6.35x0.7x113
MJU66900501,7,7.94x0.65x628,대원,9.52x0.65x60,이젠터,12.7x0.75x285,이젠터,7.94x0.65x628
4H01281C,5,6.35x0.65x125,대원,6.35x0.65x122,미래,6.35x0.65x137,중앙,6.35x0.65x125
5210A23089A,5,6.35x0.7x143,"대원,미래",6.35x0.7x141,미래,6.35x0.65x142,중앙,6.35x0.7x143
5210A31939A,5,6.35x0.7x143,"미래,이젠터",6.35x0.7x144,"미래,이젠터",6.35x0.65x143,"명진,중앙",6.35x0.7x143
MJU64868549,5,6.35x0.65x269,미래,6.35x0.65x265,미래,6.35x0.65x266,미래,6.35x0.65x269
MJU66936607,5,6.35x0.65x244,중앙,9.52x0.65x143,중앙,9.52x0.65x164,중앙,6.35x0.65x244
MJU65516603,4,6.35x0.65x120,대원,6.35x0.7x123,미래,6.35x0.65x122,이젠터,6.35x0.65x120
5210A22034U,4,7.0x0.65x70,"대원,이젠터",7.0x0.65x67,이젠터,7.0x0.65x71,이젠터,7.0x0.65x70
MJU47978302,4,6.35x0.65x152,대원,6.35x0.65x150,미래,6.35x0.65x154,이젠터,6.35x0.65x152
MJU62207801,4,6.35x0.65x178,대원,6.35x0.65x160,중앙,6.35x0.65x171,중앙,6.35x0.65x178
MJU62207802,4,6.35x0.65x95,대원,6.35x0.65x80,중앙,6.35x0.65x89,중앙,6.35x0.65x95
MJU58941310,4,6.35x0.65x185,"대원,이젠터",6.35x0.65x190,미래,6.35x0.65x186,썬텍,6.35x0.65x185
MJU66478201,4,9.52x0.55x203,대원,9.52x0.65x203,대원,9.52x0.55x192,대원,9.52x0.55x203
MJU63669501,4,6.35x0.65x93,미래,6.35x0.65x95,미래,6.35x0.65x98,미래,6.35x0.65x95
MJU63669601,4,6.35x0.65x61,"미래,중앙",6.35x0.65x59,미래,6.35x0.65x2167,미래,6.35x0.65x59
MJU64856601,4,6.35x0.65x292,미래,6.35x0.65x296,미래,6.35x0.65x297,이젠터,6.35x0.65x292
MJU64856602,4,6.35x0.65x292,미래,6.35x0.65x172,미래,6.35x0.65x297,이젠터,6.35x0.65x292
MJU64856603,4,6.35x0.65x169,미래,6.35x0.65x172,미래,6.35x0.65x174,이젠터,6.35x0.65x169
MJU64856604,4,6.35x0.65x169,미래,6.35x0.65x296,미래,6.35x0.65x174,이젠터,6.35x0.65x169
MJU64856605,4,6.35x0.65x295,미래,6.35x0.65x296,미래,6.35x0.65x300,이젠터,6.35x0.65x295
