협력사,품번,품명,등급,제작동관중량,시점,이전원재료비,이후원재료비,원재료비증가,사급부품가,가공비(고정),이전판가,이후판가,판가증가,최근납품가
대원산업,AJR74983905-12-2,"Tube,Connector",일반CU,2.1353,작년(7.5k),6865,18307,11442,2450,376,9691,21133,11442,21507
대원산업,AJR30027704-12-1,"Tube,Connector",일반CU,0.6418,작년(7.5k),4846,12923,8077,6265,2866,13977,22054,8077,26684
대원산업,AJR30027703-12-3,Tube Connector,일반CU,0.6364,작년(7.5k),4805,12813,8008,4560,2995,12360,20368,8008,24382
대원산업,AJR76362801,"Tube,Connector",일반CU,0.2189,작년(7.5k),4379,11677,7298,1300,847,6526,13824,7298,0
대원산업,AJR74983905-12-1,"Tube,Connector",일반CU,3.4384,작년(7.5k),3741,9976,6235,2278,203,6222,12457,6235,16413
대원산업,MJU66166611,"Tube,Connector",일반CU,1.2403,올해(20k),3512,9364,5852,920,1080,5512,11364,5852,13666
대원산업,AJR74983904-12-1,"Tube,Connector",일반CU,3.2252,작년(7.5k),3509,9357,5848,2278,203,5990,11838,5848,15611
대원산업,AJR30027701-12-1,"Tube,Connector",일반CU,0.4193,작년(7.5k),3165,8440,5275,2959,1250,7374,12649,5275,17112
대원산업,AJR30027705-12-1,"Tube,Connector",일반CU,0.4057,작년(7.5k),3063,8168,5105,2959,1255,7277,12382,5105,17042
대원산업,AJR77224501-12-2,"Tube,Connector",일반CU,0.3682,작년(7.5k),2780,7413,4633,3804,886,7470,12103,4633,12980
대원산업,AJR75544505-12-1,"Tube,Connector",일반CU,0.3374,작년(7.5k),2547,6792,4245,2210,701,5458,9703,4245,9902
대원산업,AJR77224519-12-1,"Tube,Connector",일반CU,0.3284,작년(7.5k),2479,6611,4132,4501,759,7739,11871,4132,13175
대원산업,AJR74983906-12-1,"Tube,Connector",일반CU,1.0864,올해(20k),2321,6189,3868,0,196,2517,6385,3868,6724
대원산업,AJR74983904-12-2,"Tube,Connector",일반CU,1.9706,올해(20k),2162,5766,3604,1413,461,4036,7640,3604,8614
대원산업,AJR74983905-12-3,"Tube,Connector",일반CU,23.8091,올해(20k),2152,5738,3586,0,196,2348,5934,3586,6273
대원산업,AJR74983904-12-3,"Tube,Connector",일반CU,8.8521,올해(20k),2065,5506,3441,0,285,2350,5791,3441,6426
대원산업,AJR74983905-12-4,"Tube,Connector",일반CU,6.0069,올해(20k),1973,5262,3289,3460,292,5725,9014,3289,9818
대원산업,AJR74523006-12-1,"Tube,Connector",일반CU,0.0899,작년(7.5k),1798,4795,2997,15790,883,18471,21468,2997,20000
대원산업,AJR30027701-12-3,"Tube,Connector",일반CU,0.2362,작년(7.5k),1783,4755,2972,2959,1093,5835,8807,2972,13032
대원산업,AJR76982501-12-1,"Tube,Connector",일반CU,0.196,작년(7.5k),1480,3947,2467,2210,394,4084,6551,2467,7050
대원산업,AJR30031201-12-1,"Tube,Connector",일반CU,0.4998,올해(20k),1417,3779,2362,6632,2958,11007,13369,2362,14700
대원산업,AJR74983910-12-1,"Tube,Connector",일반CU,2.8261,올해(20k),1341,3575,2234,2278,203,3822,6056,2234,6615
대원산업,AJR30038101-12-1,"Tube,Connector",일반CU,0.4473,올해(20k),1268,3381,2113,3698,2549,7515,9628,2113,12000
