구분,거래처,품번,단품,재료비,판가,가공비,사유
①음수가공비,명진산업,AJR73965601-19-1,,1080,192,-888,재료비>판가(특수사급 material이 재료비로 합산됨 추정)
①음수가공비,명진산업,AJR73965601-19-10,,471,305,-166,재료비>판가(특수사급 material이 재료비로 합산됨 추정)
①음수가공비,명진산업,AJR73965601-19-11,,400,192,-208,재료비>판가(특수사급 material이 재료비로 합산됨 추정)
①음수가공비,명진산업,AJR73965601-19-2,,1080,192,-888,재료비>판가(특수사급 material이 재료비로 합산됨 추정)
①음수가공비,명진산업,AJR73965601-19-3,,1080,192,-888,재료비>판가(특수사급 material이 재료비로 합산됨 추정)
①음수가공비,명진산업,AJR73965601-19-4,,1100,204,-896,재료비>판가(특수사급 material이 재료비로 합산됨 추정)
①음수가공비,명진산업,AJR73965601-19-5,,1100,204,-896,재료비>판가(특수사급 material이 재료비로 합산됨 추정)
①음수가공비,명진산업,AJR73965601-19-6,,1100,204,-896,재료비>판가(특수사급 material이 재료비로 합산됨 추정)
①음수가공비,명진산업,AJR73965601-19-7,,1260,204,-1056,재료비>판가(특수사급 material이 재료비로 합산됨 추정)
①음수가공비,명진산업,AJR73965601-19-8,,1260,204,-1056,재료비>판가(특수사급 material이 재료비로 합산됨 추정)
①음수가공비,명진산업,AJR73965601-19-9,,400,204,-196,재료비>판가(특수사급 material이 재료비로 합산됨 추정)
①음수가공비,명진산업,AJR73965602-19-1,,400,192,-208,재료비>판가(특수사급 material이 재료비로 합산됨 추정)
①음수가공비,명진산업,AJR73965602-19-10,,471,305,-166,재료비>판가(특수사급 material이 재료비로 합산됨 추정)
①음수가공비,명진산업,AJR73965602-19-11,,400,192,-208,재료비>판가(특수사급 material이 재료비로 합산됨 추정)
①음수가공비,명진산업,AJR73965602-19-2,,400,192,-208,재료비>판가(특수사급 material이 재료비로 합산됨 추정)
①음수가공비,명진산업,AJR73965602-19-3,,400,204,-196,재료비>판가(특수사급 material이 재료비로 합산됨 추정)
①음수가공비,명진산업,AJR73965602-19-4,,400,204,-196,재료비>판가(특수사급 material이 재료비로 합산됨 추정)
①음수가공비,명진산업,AJR73965602-19-5,,400,204,-196,재료비>판가(특수사급 material이 재료비로 합산됨 추정)
①음수가공비,명진산업,AJR73965602-19-6,,400,204,-196,재료비>판가(특수사급 material이 재료비로 합산됨 추정)
①음수가공비,명진산업,AJR73965602-19-7,,400,204,-196,재료비>판가(특수사급 material이 재료비로 합산됨 추정)
①음수가공비,명진산업,AJR73965602-19-8,,400,204,-196,재료비>판가(특수사급 material이 재료비로 합산됨 추정)
①음수가공비,명진산업,AJR73965602-19-9,,400,204,-196,재료비>판가(특수사급 material이 재료비로 합산됨 추정)
①음수가공비,명진산업,AJR75563402-19-1,,1595,1524,-71,재료비>판가(특수사급 material이 재료비로 합산됨 추정)
①음수가공비,명진산업,AJR77142503-19-1,,956,795,-161,재료비>판가(특수사급 material이 재료비로 합산됨 추정)
①음수가공비,미래정밀,ACQ30605001-4-1,,4468,685,-3783,재료비>판가(특수사급 material이 재료비로 합산됨 추정)
①음수가공비,미래정밀,AJR30075401-4-3,,21611,7780,-13831,재료비>판가(특수사급 material이 재료비로 합산됨 추정)
①음수가공비,미래정밀,AJR30087401-4-1,,4935,1311,-3624,재료비>판가(특수사급 material이 재료비로 합산됨 추정)
①음수가공비,미래정밀,AJR65507705,,20012,10453,-9559,재료비>판가(특수사급 material이 재료비로 합산됨 추정)
①음수가공비,미래정밀,AJR65507708,,21876,11621,-10255,재료비>판가(특수사급 material이 재료비로 합산됨 추정)
①음수가공비,미래정밀,AJR65507711,,23758,12447,-11311,재료비>판가(특수사급 material이 재료비로 합산됨 추정)
①음수가공비,미래정밀,AJR73342803,,7184,4206,-2978,재료비>판가(특수사급 material이 재료비로 합산됨 추정)
①음수가공비,썬텍코리아,AJR77182802-20-1,,13003,6414,-6589,재료비>판가(특수사급 material이 재료비로 합산됨 추정)
①음수가공비,썬텍코리아,AJR77182902-20-1,,12227,5709,-6518,재료비>판가(특수사급 material이 재료비로 합산됨 추정)
①음수가공비,중앙정밀,"AJR77263005->
AJR77263007,8
시방",,1522,1136,-386,재료비>판가(특수사급 material이 재료비로 합산됨 추정)
①음수가공비,케이비,ACQ30662801-16-1,,3684,341,-3343,재료비>판가(특수사급 material이 재료비로 합산됨 추정)
①음수가공비,케이비,MJU00722801_이중관밴딩,,8739,5902,-2837,재료비>판가(특수사급 material이 재료비로 합산됨 추정)
②특수소재표기(기존가),대원산업,AJR75662310-12-2,AJR75662310-12-1,2250,2250,,"소재규격=""기존가"" 110행 · 판가 미포함 material 추정"
②특수소재표기(SKNT 사급),명진산업,AJR73965601-19-1,MJU62788805,680,48,,"소재규격=""SKNT 사급"" 24행 · 판가 미포함 material 추정"
②특수소재표기(가공비),미래정밀,MJU66502904+용접링,용접링 삽입 가공비,20,20,,"소재규격=""가공비"" 16행 · 판가 미포함 material 추정"
②특수소재표기(명진 자체 재료비),명진산업,AJR77142503-19-2,5210A20522Q,208,,,"소재규격=""명진 자체 재료비"" 16행 · 판가 미포함 material 추정"
②특수소재표기(자작),대원산업,AJR76362801,mju66478201,784,784,,"소재규격=""자작"" 14행 · 판가 미포함 material 추정"
②특수소재표기(협의가),미래정밀,AJR74364918-4-1,MJU63669501,180,180,,"소재규격=""협의가"" 12행 · 판가 미포함 material 추정"
②특수소재표기(기존단가있음),중앙정밀,AJR75483701-1-1,MJU64671106,357,357,,"소재규격=""기존단가있음"" 12행 · 판가 미포함 material 추정"
②특수소재표기(기존가있음),이젠터,AJR74522902-3-1,4H00049A,151,151,,"소재규격=""기존가있음"" 8행 · 판가 미포함 material 추정"
②특수소재표기(가공 컷팅/면취 후 사급),대원산업,AJR77224501-12-1,MJU66166606,,2668,,"소재규격=""가공 컷팅/면취 후 사급"" 6행 · 판가 미포함 material 추정"
②특수소재표기(중알정밀 사급),미래정밀,AJR75563402-4-1,MJU64329103,150,51,,"소재규격=""중알정밀 사급"" 6행 · 판가 미포함 material 추정"
②특수소재표기(이중관 사급),미래정밀,AJR30075401-4-3,MJU63706901,10518,78,,"소재규격=""이중관 사급"" 5행 · 판가 미포함 material 추정"
②특수소재표기(스파이럴 사급),미래정밀,AJR30075401-4-3,MJU61882012,5933,,,"소재규격=""스파이럴 사급"" 5행 · 판가 미포함 material 추정"
②특수소재표기(자체 재료비),명진산업,MJU66889801-19-1,MJU00788501,226,,,"소재규격=""자체 재료비"" 4행 · 판가 미포함 material 추정"
②특수소재표기(12.7로 견적 잘못넣음),대원산업,AJR76982501-12-1,MJU66266613,,753,,"소재규격=""12.7로 견적 잘못넣음"" 2행 · 판가 미포함 material 추정"
②특수소재표기(길이 : 1060),명진산업,AJR33796513-19-1,PVC TUBE,,98,,"소재규격=""길이 : 1060"" 2행 · 판가 미포함 material 추정"
②특수소재표기(이중관 밴딩),케이비,ACQ30662801-16-1,MJU00722801,,33,,"소재규격=""이중관 밴딩"" 2행 · 판가 미포함 material 추정"
②특수소재표기(가공 컷팅),썬텍코리아,AJR77182802-20-1,MJU65512602,11339,196,,"소재규격=""가공 컷팅"" 2행 · 판가 미포함 material 추정"
②특수소재표기(확정가),미래정밀,AJR36852209-4-1,MJU58941309,176,176,,"소재규격=""확정가"" 1행 · 판가 미포함 material 추정"
②특수소재표기(길이 : 1260),명진산업,AJR33796513-19-1,PVC TUBE,,110,,"소재규격=""길이 : 1260"" 1행 · 판가 미포함 material 추정"
②특수소재표기(명진소재 사용),명진산업,MJU63732402-1,MJU61942901,,366,,"소재규격=""명진소재 사용"" 1행 · 판가 미포함 material 추정"
②특수소재표기(명진기존가),명진산업,AJR30060805-19-1,MJU66905702,400,400,,"소재규격=""명진기존가"" 1행 · 판가 미포함 material 추정"
②특수소재표기(길이 : 380),명진산업,AJR30060805-19-1,PVC TUBE,,58,,"소재규격=""길이 : 380"" 1행 · 판가 미포함 material 추정"
②특수소재표기(길이 : 1380),명진산업,AJR30060805-19-1,PVC TUBE,,117,,"소재규격=""길이 : 1380"" 1행 · 판가 미포함 material 추정"
②특수소재표기(길이 : 300),명진산업,AJR77202902-19-1,PVC TUBE,,83,,"소재규격=""길이 : 300"" 1행 · 판가 미포함 material 추정"
②특수소재표기(길이 : 520),명진산업,AJR77202902-19-1,PVC TUBE,,96,,"소재규격=""길이 : 520"" 1행 · 판가 미포함 material 추정"
②특수소재표기(길이 : 1320),명진산업,AJR77202902-19-1,PVC TUBE,,143,,"소재규격=""길이 : 1320"" 1행 · 판가 미포함 material 추정"
②특수소재표기(중앙정밀),케이비,AJR30123401-16-1,MJU63651005-피어싱,,754,,"소재규격=""중앙정밀"" 1행 · 판가 미포함 material 추정"
②특수소재표기(사급가(이젠터)),중앙정밀,AJR75743209,MJU64927208,1250,1250,,"소재규격=""사급가(이젠터)"" 1행 · 판가 미포함 material 추정"
②특수소재표기(기존가 900->변경1186원),중앙정밀,"AJR77263005->
AJR77263007,8
시방",MJU65517927,618,1136,,"소재규격=""기존가 900->변경1186원"" 1행 · 판가 미포함 material 추정"
②특수소재표기(가공 단가),썬텍코리아,AJR30004702-20-1,,11339,178,,"소재규격=""가공 단가"" 1행 · 판가 미포함 material 추정"
②특수소재표기(22.22파이 절단),썬텍코리아,AJR77182902-20-1,MJU66467102,10899,179,,"소재규격=""22.22파이 절단"" 1행 · 판가 미포함 material 추정"
③비정상품번,대원산업,AJR36852209 -> AJR30077901 고강도 시방 변경,,,,,Assy품번에 한글/화살표/설명 포함(시방변경 등)
③비정상품번,미래정밀,AJR75662332 고강도 변경,,,,,Assy품번에 한글/화살표/설명 포함(시방변경 등)
③비정상품번,미래정밀,AJR75662337 고강도 변경,,,,,Assy품번에 한글/화살표/설명 포함(시방변경 등)
③비정상품번,미래정밀,MJU66502904+용접링,,,,,Assy품번에 한글/화살표/설명 포함(시방변경 등)
③비정상품번,미래정밀,MJU66502905+용접링,,,,,Assy품번에 한글/화살표/설명 포함(시방변경 등)
③비정상품번,미래정밀,MJU66502907+용접링,,,,,Assy품번에 한글/화살표/설명 포함(시방변경 등)
③비정상품번,미래정밀,MJU66502908+용접,,,,,Assy품번에 한글/화살표/설명 포함(시방변경 등)
③비정상품번,이젠터,AJJ75358441의 하위,,,,,Assy품번에 한글/화살표/설명 포함(시방변경 등)
③비정상품번,이젠터,AJR36852209-3-1 -> AJR30077901-3-1 고강도 시방 변경,,,,,Assy품번에 한글/화살표/설명 포함(시방변경 등)
③비정상품번,이젠터,AJR77145702-> AJR30117302  고강도 시방,,,,,Assy품번에 한글/화살표/설명 포함(시방변경 등)
③비정상품번,중앙정밀,"AJR77263005-> AJR77263007,8 시방",,,,,Assy품번에 한글/화살표/설명 포함(시방변경 등)
③비정상품번,케이비,AJJ76418704 공용,,,,,Assy품번에 한글/화살표/설명 포함(시방변경 등)
③비정상품번,케이비,AJR30065901-케,,,,,Assy품번에 한글/화살표/설명 포함(시방변경 등)
③비정상품번,케이비,MJU00722801_이중관밴딩,,,,,Assy품번에 한글/화살표/설명 포함(시방변경 등)
③비정상품번,케이비,MJU64671113+용접립,,,,,Assy품번에 한글/화살표/설명 포함(시방변경 등)
③비정상품번,케이비,MJU64671114+용접립,,,,,Assy품번에 한글/화살표/설명 포함(시방변경 등)
③비정상품번,케이비,MJU64671115+용접립,,,,,Assy품번에 한글/화살표/설명 포함(시방변경 등)
③비정상품번,케이비,MJU64671116+용접립,,,,,Assy품번에 한글/화살표/설명 포함(시방변경 등)
③비정상품번,케이비,MJU64671117+용접립,,,,,Assy품번에 한글/화살표/설명 포함(시방변경 등)
③비정상품번,케이비,MJU64671118+용접립,,,,,Assy품번에 한글/화살표/설명 포함(시방변경 등)
③비정상품번,케이비,MJU66571308+용접링,,,,,Assy품번에 한글/화살표/설명 포함(시방변경 등)
③비정상품번,케이비,MJU66571310+용접링,,,,,Assy품번에 한글/화살표/설명 포함(시방변경 등)
③비정상품번,케이비,MJU66571311+용접링,,,,,Assy품번에 한글/화살표/설명 포함(시방변경 등)
