카테고리,거래처,품번,품명,재료비,가공비,판가,재료비율,비고
①음수가공비,중앙정밀,AJR75483701,"Tube,Connector",3888,-528,3360,115.7,
①음수가공비,중앙정밀,AJR77225303,"Tube,Connector",4035,-968,3067,131.6,
⑥비정상품번,미래정밀,AJR75662332 고강도 변경,"Tube,Connector",1649,375,2024,81.5,
⑥비정상품번,미래정밀,AJR75662337 고강도 변경,"Tube,Connector",2772,764,3536,78.4,
⑥비정상품번,미래정밀,MJU66502904+용접링,"Tube,Connector",629,206,835,75.3,
⑥비정상품번,미래정밀,MJU66502905+용접링,"Tube,Connector",559,197,756,74.0,
⑥비정상품번,미래정밀,MJU66502907+용접링,"Tube,Connector",376,148,524,71.8,
⑥비정상품번,미래정밀,MJU66502908+용접,"Tube,Connector",426,159,585,72.9,
⑥비정상품번,케이비,AJR30065901-케,"Tube,Connector",1395,348,1743,80.0,
⑥비정상품번,케이비,MJU64671113+용접립,"Tube,Connector",217,106,323,67.2,
⑥비정상품번,케이비,MJU64671114+용접립,"Tube,Connector",258,129,387,66.6,
⑥비정상품번,케이비,MJU64671115+용접립,"Tube,Connector",328,141,469,70.0,
⑥비정상품번,케이비,MJU64671116+용접립,"Tube,Connector",567,181,748,75.9,
⑥비정상품번,케이비,MJU64671117+용접립,"Tube,Connector",622,204,826,75.3,
⑥비정상품번,케이비,MJU64671118+용접립,"Tube,Connector",780,232,1012,77.1,
⑥비정상품번,케이비,MJU66571310+용접링,"Tube,Connector",859,227,1086,79.1,
⑥비정상품번,케이비,MJU66571311+용접링,"Tube,Connector",1055,276,1331,79.3,
⑥비정상품번,케이비,MJU66571308+용접링,"Tube,Connector",480,182,662,72.6,
