구분,P/N,협력사,엑셀중량,기하중량/비교,외경,두께,길이,배수/비고
①중량-스펙불일치,5210A22034U,대원,0.03246,0.00811,7.0,0.65,70.0,약4.0배
①중량-스펙불일치,MJU61986601,대원,0.06782,0.02261,7.0,0.65,195.0,약3.0배
①중량-스펙불일치,MJU61986701,대원,0.33212,0.02214,7.0,0.65,191.0,약15.0배
①중량-스펙불일치,MJU65626404,대원,0.04028,0.02014,12.7,0.75,80.0,약2.0배
①중량-스펙불일치,MJU66466901,대원,0.23933,0.02393,6.35,0.65,230.0,약10.0배
①중량-스펙불일치,MJU66467201,대원,0.23933,0.02393,6.35,0.65,230.0,약10.0배
①중량-스펙불일치,MJU63748402,대원,0.02597,0.00649,7.0,0.65,56.0,약4.0배
①중량-스펙불일치,5210A24677N,대원,0.05657,0.00707,7.0,0.65,61.0,약8.0배
①중량-스펙불일치,MJU66930301,대원,0.04862,0.00608,7.0,0.55,61.0,약8.0배
①중량-스펙불일치,MJU66466902,대원,0.20427,0.02043,6.35,0.55,228.0,약10.0배
①중량-스펙불일치,MJU66467202,대원,0.20607,0.02061,6.35,0.55,230.0,약10.0배
①중량-스펙불일치,MJU64927105,미래,0.0308,0.0077,6.35,0.65,74.0,약4.0배
①중량-스펙불일치,MJU62028802,미래,0.01707,0.00853,6.35,0.65,82.0,약2.0배
①중량-스펙불일치,MJU62919025,미래,0.03382,0.00676,6.35,0.65,65.0,약5.0배
①중량-스펙불일치,MJU64064527,미래,0.05702,0.01426,6.35,0.65,137.0,약4.0배
①중량-스펙불일치,MJU64047701,미래,0.04037,0.02019,6.35,0.65,194.0,약2.0배
①중량-스펙불일치,MJU64047801,미래,0.04037,0.02019,6.35,0.65,194.0,약2.0배
①중량-스펙불일치,MJU64047901,미래,0.02601,0.01301,6.35,0.65,125.0,약2.0배
①중량-스펙불일치,MJU61909402,미래,0.09133,0.04566,9.52,0.65,282.0,약2.0배
